Algorithm,Anonymised Labels,Author,Column Name,Column Type,Description,File type,Image dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of Views,Size,Summary,Title,URL,Update
"[Classification,  object detection]",,MIT Computer Science and Artificial Intelligence Laboratory,,,,Images  text,,,,,187240,,,,Annotated pictures of scenes.,LabelMe,,2005
"[Classification,  object detection]",,Daimler AG et al.,,,,Images  text,,,,,25000,,,,"Stereo video sequences recorded in street scenes, with pixel-level annotations. Metadata also included.",Cityscapes Dataset,,2016
"[Classification,  object detection]",,M. Everingham et al.,,,,Images  text,,,,,500000,,,,Large number of images for classification tasks.,PASCAL VOC Dataset,,2010
[Classification],,A. Krizhevsky et al.,,,,Images,,,,,60000,,,,"Many small, low-resolution, images of 10 classes of objects.",CIFAR-10 Dataset,,2009
[Classification],,A. Krizhevsky et al.,,,,Images,,,,,60000,,,,"Like CIFAR-10, above, but 100 classes of objects are given.",CIFAR-100 Dataset,,2009
[Classification],,Zalando SE,,,,Images,,,,,60000,,,,A MNIST-like fashion product database,Fashion-MNIST,,2017
[Classification],,Yaroslav Bulatov,,,,Images,,,,,500000,,,,"Some publicly available fonts and extracted glyphs from them to make a dataset similar to MNIST. There are 10 classes, with letters A-J taken from different fonts.",notMNIST,,2011
[Classification],,S Houben et al.,,,,Images,,,,,900,,,,Images from vehicles of traffic signs on German roads. These signs comply with UN standards and therefore are the same as in other countries.,German Traffic Sign Detection Benchmark Dataset,,2013
"[Classification,  object detection]",,A Geiger et al.,,,,Images  text,,,,,>100 GB of data,,,,Autonomous vehicles driving through a mid-size city captured images of various areas using cameras and laser scanners.,KITTI Vision Benchmark Dataset,,2012
[Classification],,Chaladze & Kalatozishvili,,,,Images,,,,,8000,,,,Images of 5 classes of objects.,Linnaeus 5 dataset,,2017
"[Classification,  object detection,  object localization]",,M. Kragh et al.,,,,Images and 3D point clouds,,,,,>400 GB of data,,,,"Multi-modal dataset for obstacle detection in agriculture including stereo camera, thermal camera, web camera, 360-degree camera, lidar, radar, and precise localization.",FieldSAFE,,2017
[Gender recognition and biometric identification],,M Afifi,,,,Images and (.mat  .txt  and .csv) label files,,,,,"11,076 hand images",,,,"11,076 hand images (1600 x 1200 pixels) of 190 subjects, of varying ages between 18 – 75 years old, for gender recognition and biometric identification.",11K Hands,,2017
"[Classification,  Object recognition]",,V. Lomonaco and D. Maltoni,,,,"images (.png or .pkl)
and (.pkl  .txt  .tsv) label files
",,,,,"164,866 RBG-D images",,,,"Specifically designed for Continuous/Lifelong Learning and Object Recognition, is a collection of more than 500 videos (30fps) of 50 domestic objects belonging to 10 different categories.",CORe50,,2017
"[Handwriting recognition,  classification]",,H. Guvenir et al.,,,,Text,,,,,6000,,,,Artificially generated data describing the structure of 10 capital English letters.,Artificial Characters Dataset,,1992
"[OCR,  classification]",,D. Slate et al.,,,,Text,,,,,20000,,,,Upper case printed letters.,Letter Dataset,,1991
"[Handwriting recognition,  classification]",,B. Williams,,,,Text,,,,,2858,,,,Labeled samples of pen tip trajectories for people writing simple characters.,Character Trajectories Dataset,,2008
"[Character recognition,  handwriting recognition,  OCR,  classification]",,T. de Campos,,,,,,,,,74107,,,,Character recognition in natural images of symbols used in both English and Kannada,Chars74K Dataset,,2009
"[Handwriting recognition,  classification]",,F. Prat et al.,,,,Text,,,,,11640,,,,Isolated handwritten characters,UJI Pen Characters Dataset,,2009
"[Handwriting recognition,  classification]",,Yann LeCun et al.,,,,Images  text,,,,,13500,,,,Handwriting samples from the often-confused 4 and 9 characters.,Gisette Dataset,,2003
[Classification],,National Institute of Standards and Technology,,,,Images  text,,,,,60000,,,,Database of handwritten digits.,MNIST database,,1998
"[Handwriting recognition,  classification]",,E. Alpaydin et al.,,,,Images  text,,,,,5620,,,,Normalized bitmaps of handwritten data.,Optical Recognition of Handwritten Digits Dataset,,1998
"[Handwriting recognition,  classification]",,E. Alpaydin et al.,,,,Images  text,,,,,10992,,,,Handwritten digits on electronic pen-tablet.,Pen-Based Recognition of Handwritten Digits Dataset,,1998
"[Handwriting recognition,  classification]",,T. Srl,,,,Images  text,,,,,1593,,,,Handwritten digits from 80 people.,Semeion Handwritten Digit Dataset,,2008
[Classification],,Martin Thoma,,,,Images  text,,,,,168233,,,,Handwritten mathematical symbols,HASYv2,,2017
"[Aerial Classification,  object detection]",,J. Yuan et al.,,,,Images,,,,,80,,,,80 high-resolution aerial images with spatial resolution ranging from 0.3 to 1.0.,Aerial Image Segmentation Dataset,,2013
"[People tracking,  aerial tracking]",,M. Butenuth et al.,,,,Images with paths,,,,,~ 150,,,,Multiple labeled training and evaluation datasets of aerial images of crowds.,KIT AIS Data Set,,2012
"[Classification,  aerial object detection]",,B. Johnson,,,,Images,,,,,4899,,,,Remote sensing data of diseased trees and other land cover.,Wilt Dataset,,2014
[Classification],,B. Johnson,,,,Text,,,,,326,,,,Satellite imagery of forests in Japan.,Forest Type Mapping Dataset,,2015
[Classification],,F. Tanner et al.,,,,Images  text,,,,,1000,,,,Annotated overhead imagery. Images with multiple objects.,Overhead Imagery Research Data Set,,2009
"[Classification,  Object Identification]",,"DigitalGlobe, Inc.",,,,Images,,,,,>17533,,,,SpaceNet is a corpus of commercial satellite imagery and labeled training data.,SpaceNet,,2017
[Classification],,M. Rohrbach et al.,,,,Labeled video  images  text,,,,,"881,755 frames",,,,Videos and images of various cooking activities.,MPII Cooking Activities Dataset,,2012
[Authentication],,"S. Voloshynovskiy, et al.",,,,Images and .mat files,,,,,30000,,,,"5,000 unique microstructures, all samples have been acquired 3 times with two different cameras.",FAMOS Dataset,,2012
[Fine-grain classification],,"O. Taran and S. Rezaeifar, et al.",,,,Images and .mat files,,,,,54000,,,,"1,000 unique classes with 54 images per class.",PharmaPack Dataset,,2017
[Fine-grain classification],,A. Khosla et al.,,,,Images  text,,,,,20580,,,,Images of 120 breeds of dogs from around the world.,Stanford Dogs Dataset,,2011
"[Classification,  object detection]",,O. Parkhi et al.,,,,Images  text,,,,,"~ 7,400",,,,37 categories of pets with roughly 200 images of each.,The Oxford-IIIT Pet Dataset,,2012
"[Classification,  object detection]",,M. Ortega-Bindenberger et al.,,,,Text,,,,,68040,,,,Database of images with features extracted.,Corel Image Features Data Set,,1999
[Regression],,T. Deneke et al.,,,,Text,,,,,168286,,,,Transcoding times for various different videos and video properties.,Online Video Characteristics and Transcoding Time Dataset.,,2015
[Visual storytelling],,Microsoft Research,,,,Images  text,,,,,81743,,,,Dataset for sequential vision-to-language,Microsoft Sequential Image Narrative Dataset (SIND),,2016
[Classification],,C. Wah et al.,,,,Images  text,,,,,11788,,,,Large dataset of images of birds.,Caltech-UCSD Birds-200-2011 Dataset,,2011
[Video classification],,S. Abu-El-Haija et al.,,,,Video  text,,,,,8 million,,,,Large and diverse labeled video dataset,YouTube-8M,,2016
[Video and Image classification],,B. Thomee et al.,,,,Video  Image  Text,,,,,100 million,,,,Large and diverse labeled image and video dataset,YFCC100M,,2016
[Video emotion elicitation detection],,Y. Baveye et al.,,,,Video,,,,,9800,,,,Short videos annotated for valence and arousal.,Discrete LIRIS-ACCEDE,,2015
[Video emotion elicitation detection],,Y. Baveye et al.,,,,Video,,,,,30,,,,Long videos annotated for valence and arousal while also collecting Galvanic Skin Response.,Continuous LIRIS-ACCEDE,,2015
[Video emotion elicitation detection],,Y. Baveye et al.,,,,Video,,,,,10900,,,,Extension of Discrete LIRIS-ACCEDE including annotations for violence levels of the films.,MediaEval LIRIS-ACCEDE,,2015
[Human pose estimation],,S. Johnson and M. Everingham,,,,Images plus .mat file labels,,,,,2000,,,,Articulated human pose annotations in 2000 natural sports images from Flickr.,Leeds Sports Pose,,2010
[Human pose estimation],,S. Johnson and M. Everingham,,,,Images plus .mat file labels,,,,,10000,,,,"Articulated human pose annotations in 10,000 natural sports images from Flickr.",Leeds Sports Pose Extended Training,,2011
[Development of multiple choice test assessment systems],,"Afifi, M. et al.",,,,Images and .mat file labels,,,,,"735 answer sheets and 33,540 answer boxes",,,,"6 different real multiple choice-based exams (735 answer sheets and 33,540 answer boxes) to evaluate computer vision techniques and systems developed for multiple choice test assessment systems.",MCQ Dataset,,2017
[Data compression],,"Taj-Eddin, I. A. T. F. et al.",,,,Videos,,,,,19 surveillance videos (7 days with 24 hours each).,,,,Real surveillance videos cover a large surveillance time (7 days with 24 hours each).,Surveillance Videos,,2016
[Liveness detection of plants],,"Taj-Eddin, I. A. T. F. et al.",,,,Videos,,,,,32 videos,,,,32 videos for eight live and eight dead leaves recorded under both DC and AC lighting conditions.,Can We See Photosynthesis?,,2017
"[Classification,  sentiment analysis]",,McAuley et al.,,,,Text,,,,,~ 82M,,,,US product reviews from Amazon.com.,Amazon reviews,,2015
"[Sentiment analysis,  clustering]",,K. Ganesan et al.,,,,Text,,,,,"42,230 / ~259,000 respectively",,,,Reviews of cars and hotels from Edmunds.com and TripAdvisor respectively.,OpinRank Review Dataset,,2011
